country,cases,date
Mexico,3892,5/23/09
Mexico,4174,5/25/09
Mexico,4174,5/26/09
Mexico,4541,5/27/09
Mexico,4910,5/29/09
Mexico,5029,6/1/09
Mexico,5029,6/3/09
Mexico,5563,6/5/09
Mexico,5717,6/8/09
Mexico,5717,6/10/09
Mexico,6241,6/11/09
Mexico,6241,6/12/09
Mexico,6241,6/15/09
Mexico,6241,6/17/09
Mexico,7624,6/19/09
Mexico,7624,6/22/09
Mexico,7847,6/24/09
Mexico,8279,6/26/09
Mexico,8279,6/29/09
Mexico,8680,7/1/09
Mexico,10262,7/3/09
Mexico,10262,7/6/09
Canada,719,5/23/09
Canada,805,5/25/09
Canada,921,5/26/09
Canada,921,5/27/09
Canada,1118,5/29/09
Canada,1336,6/1/09
Canada,1530,6/3/09
Canada,1795,6/5/09
Canada,2115,6/8/09
Canada,2446,6/10/09
Canada,2446,6/11/09
Canada,2978,6/12/09
Canada,2978,6/15/09
Canada,4049,6/17/09
Canada,4905,6/19/09
Canada,5710,6/22/09
Canada,6457,6/24/09
Canada,6732,6/26/09
Canada,7775,6/29/09
Canada,7983,7/1/09
Canada,7983,7/3/09
Canada,7983,7/6/09
UK,117,5/23/09
UK,122,5/25/09
UK,137,5/26/09
UK,137,5/27/09
UK,203,5/29/09
UK,229,6/1/09
UK,339,6/3/09
UK,428,6/5/09
UK,557,6/8/09
UK,666,6/10/09
UK,822,6/11/09
UK,822,6/12/09
UK,1226,6/15/09
UK,1461,6/17/09
UK,1752,6/19/09
UK,2506,6/22/09
UK,2905,6/24/09
UK,3597,6/26/09
UK,4250,6/29/09
UK,6538,7/1/09
UK,7447,7/3/09
UK,7447,7/6/09
France,16,5/23/09
France,16,5/25/09
France,16,5/26/09
France,16,5/27/09
France,21,5/29/09
France,24,6/1/09
France,26,6/3/09
France,47,6/5/09
France,58,6/8/09
France,71,6/10/09
France,73,6/11/09
France,73,6/12/09
France,80,6/15/09
France,118,6/17/09
France,131,6/19/09
France,147,6/22/09
France,171,6/24/09
France,191,6/26/09
France,235,6/29/09
France,277,7/1/09
France,300,7/3/09
France,310,7/6/09
Italy,14,5/23/09
Italy,19,5/25/09
Italy,19,5/26/09
Italy,23,5/27/09
Italy,26,5/29/09
Italy,29,6/1/09
Italy,30,6/3/09
Italy,38,6/5/09
Italy,50,6/8/09
Italy,50,6/10/09
Italy,54,6/11/09
Italy,56,6/12/09
Italy,67,6/15/09
Italy,72,6/17/09
Italy,88,6/19/09
Italy,88,6/22/09
Italy,96,6/24/09
Italy,102,6/26/09
Italy,112,6/29/09
Italy,123,7/1/09
Italy,130,7/3/09
Italy,146,7/6/09
Germany,17,5/23/09
Germany,17,5/25/09
Germany,17,5/26/09
Germany,17,5/27/09
Germany,19,5/29/09
Germany,28,6/1/09
Germany,28,6/3/09
Germany,43,6/5/09
Germany,63,6/8/09
Germany,78,6/10/09
Germany,95,6/11/09
Germany,95,6/12/09
Germany,170,6/15/09
Germany,195,6/17/09
Germany,238,6/19/09
Germany,275,6/22/09
Germany,301,6/24/09
Germany,333,6/26/09
Germany,366,6/29/09
Germany,417,7/1/09
Germany,470,7/3/09
Germany,505,7/6/09
Japan,321,5/23/09
Japan,345,5/25/09
Japan,350,5/26/09
Japan,360,5/27/09
Japan,364,5/29/09
Japan,370,6/1/09
Japan,385,6/3/09
Japan,410,6/5/09
Japan,410,6/8/09
Japan,485,6/10/09
Japan,518,6/11/09
Japan,549,6/12/09
Japan,605,6/15/09
Japan,666,6/17/09
Japan,690,6/19/09
Japan,850,6/22/09
Japan,893,6/24/09
Japan,1049,6/26/09
Japan,1212,6/29/09
Japan,1266,7/1/09
Japan,1446,7/3/09
Japan,1790,7/6/09
DOM,2,5/23/09
DOM,2,5/25/09
DOM,2,5/26/09
DOM,2,5/27/09
DOM,2,5/29/09
DOM,2,6/1/09
DOM,11,6/3/09
DOM,33,6/5/09
DOM,44,6/8/09
DOM,91,6/10/09
DOM,91,6/11/09
DOM,91,6/12/09
DOM,93,6/15/09
DOM,93,6/17/09
DOM,93,6/19/09
DOM,93,6/22/09
DOM,108,6/24/09
DOM,108,6/26/09
DOM,108,6/29/09
DOM,108,7/1/09
DOM,108,7/3/09
DOM,108,7/6/09
Jamaica,2,5/23/09
Jamaica,2,5/25/09
Jamaica,2,5/26/09
Jamaica,2,5/27/09
Jamaica,2,5/29/09
Jamaica,2,6/1/09
Jamaica,2,6/3/09
Jamaica,2,6/5/09
Jamaica,4,6/8/09
Jamaica,7,6/10/09
Jamaica,10,6/11/09
Jamaica,11,6/12/09
Jamaica,11,6/15/09
Jamaica,12,6/17/09
Jamaica,14,6/19/09
Jamaica,19,6/22/09
Jamaica,19,6/24/09
Jamaica,19,6/26/09
Jamaica,21,6/29/09
Jamaica,32,7/1/09
Jamaica,32,7/3/09
Jamaica,32,7/6/09
China,11,5/23/09
China,15,5/25/09
China,20,5/26/09
China,22,5/27/09
China,30,5/29/09
China,52,6/1/09
China,69,6/3/09
China,89,6/5/09
China,108,6/8/09
China,142,6/10/09
China,174,6/11/09
China,188,6/12/09
China,318,6/15/09
China,382,6/17/09
China,519,6/19/09
China,739,6/22/09
China,906,6/24/09
China,1089,6/26/09
China,1442,6/29/09
China,1518,7/1/09
China,1814,7/3/09
China,2040,7/6/09
Spain,126,5/23/09
Spain,133,5/25/09
Spain,136,5/26/09
Spain,138,5/27/09
Spain,143,5/29/09
Spain,178,6/1/09
Spain,180,6/3/09
Spain,218,6/5/09
Spain,291,6/8/09
Spain,331,6/10/09
Spain,357,6/11/09
Spain,488,6/12/09
Spain,488,6/15/09
Spain,499,6/17/09
Spain,512,6/19/09
Spain,522,6/22/09
Spain,539,6/24/09
Spain,541,6/26/09
Spain,541,6/29/09
Spain,717,7/1/09
Spain,760,7/3/09
Spain,776,7/6/09
India,1,5/23/09
India,1,5/25/09
India,1,5/26/09
India,1,5/27/09
India,1,5/29/09
India,1,6/1/09
India,1,6/3/09
India,4,6/5/09
India,4,6/8/09
India,4,6/10/09
India,9,6/11/09
India,9,6/12/09
India,16,6/15/09
India,30,6/17/09
India,30,6/19/09
India,44,6/22/09
India,64,6/24/09
India,64,6/26/09
India,64,6/29/09
India,104,7/1/09
India,104,7/3/09
India,129,7/6/09
NLD,3,5/23/09
NLD,3,5/25/09
NLD,3,5/26/09
NLD,3,5/27/09
NLD,3,5/29/09
NLD,3,6/1/09
NLD,4,6/3/09
NLD,4,6/5/09
NLD,10,6/8/09
NLD,22,6/10/09
NLD,30,6/11/09
NLD,35,6/12/09
NLD,61,6/15/09
NLD,68,6/17/09
NLD,87,6/19/09
NLD,91,6/22/09
NLD,110,6/24/09
NLD,116,6/26/09
NLD,118,6/29/09
NLD,128,7/1/09
NLD,134,7/3/09
NLD,135,7/6/09
Brazil,8,5/23/09
Brazil,9,5/25/09
Brazil,9,5/26/09
Brazil,9,5/27/09
Brazil,10,5/29/09
Brazil,18,6/1/09
Brazil,20,6/3/09
Brazil,28,6/5/09
Brazil,35,6/8/09
Brazil,36,6/10/09
Brazil,40,6/11/09
Brazil,52,6/12/09
Brazil,54,6/15/09
Brazil,79,6/17/09
Brazil,96,6/19/09
Brazil,131,6/22/09
Brazil,334,6/24/09
Brazil,399,6/26/09
Brazil,452,6/29/09
Brazil,680,7/1/09
Brazil,737,7/3/09
Brazil,737,7/6/09
Israel,7,5/23/09
Israel,8,5/25/09
Israel,8,5/26/09
Israel,9,5/27/09
Israel,11,5/29/09
Israel,19,6/1/09
Israel,33,6/3/09
Israel,39,6/5/09
Israel,54,6/8/09
Israel,63,6/10/09
Israel,68,6/11/09
Israel,68,6/12/09
Israel,117,6/15/09
Israel,152,6/17/09
Israel,219,6/19/09
Israel,291,6/22/09
Israel,375,6/24/09
Israel,405,6/26/09
Israel,469,6/29/09
Israel,506,7/1/09
Israel,577,7/3/09
Israel,681,7/6/09
S. Korea,3,5/23/09
S. Korea,3,5/25/09
S. Korea,21,5/26/09
S. Korea,21,5/27/09
S. Korea,33,5/29/09
S. Korea,33,6/1/09
S. Korea,41,6/3/09
S. Korea,41,6/5/09
S. Korea,47,6/8/09
S. Korea,48,6/10/09
S. Korea,53,6/11/09
S. Korea,53,6/12/09
S. Korea,65,6/15/09
S. Korea,65,6/17/09
S. Korea,84,6/19/09
S. Korea,105,6/22/09
S. Korea,115,6/24/09
S. Korea,142,6/26/09
S. Korea,202,6/29/09
S. Korea,202,7/1/09
S. Korea,202,7/3/09
S. Korea,202,7/6/09
Australia,12,5/23/09
Australia,16,5/25/09
Australia,19,5/26/09
Australia,39,5/27/09
Australia,147,5/29/09
Australia,297,6/1/09
